organization_key,offer_internal_name,volume_type,volume_type1,volume_creation_date,nb_volumes,storage_size
26fecc3d-3288-43fd-a6b3-a1eaacc34c70,GP1-XS,l_ssd,utility disk,2022-07-01 00:00,6,"838,1903172"
4e8f9467-e432-4817-a4da-80a04ffeb791,GP1-XS,l_ssd,utility disk,2022-11-01 00:00,6,"838,1903172"
3e987fb8-0afa-475e-8738-568648bcd014,GP1-S,l_ssd,utility disk,2022-06-01 00:00,3,"838,1903172"
4962e820-a16b-4ec8-8574-8b3fdacbf5b8,GP1-S,l_ssd,utility disk,2022-06-01 00:00,3,"838,1903172"
fa44cbef-d1c4-43cf-b4ab-8e099a685d1b,GP1-S,l_ssd,utility disk,2022-07-01 00:00,3,"838,1903172"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,l_ssd,utility disk,2021-07-01 00:00,3,"838,1903172"
7113fcd0-5086-4985-b458-713a74af8f7e,GP1-S,l_ssd,utility disk,2022-05-01 00:00,3,"838,1903172"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,l_ssd,utility disk,2021-06-01 00:00,3,"838,1903172"
9077465d-319a-4af1-98ca-2f47205d2382,GP1-S,l_ssd,utility disk,2022-01-01 00:00,3,"838,1903172"
12e44c45-f787-4d6c-a425-70c445a5e95e,PRO2-S,b_ssd,utility disk,2023-01-01 00:00,3,"838,1903172"
1c03077a-b4e3-4df0-9b9a-7df54bb42bb2,GP1-S,l_ssd,utility disk,2023-02-01 00:00,3,"838,1903172"
12e44c45-f787-4d6c-a425-70c445a5e95e,PRO2-S,b_ssd,utility disk,2023-02-01 00:00,3,"838,1903172"
23835c74-17fa-4edf-9791-94dbe9c12cb6,GP1-S,l_ssd,utility disk,2022-10-01 00:00,3,"838,1903172"
f980421a-2719-49ef-85ff-2ce583f704b3,GP1-S,l_ssd,utility disk,2022-04-01 00:00,3,"838,1903172"
97cbc5b7-578f-4a67-abf7-4f9cf532ea53,GP1-S,l_ssd,utility disk,2021-12-01 00:00,3,"838,1903172"
f7297975-8a39-4a3a-a81a-b6a41040f5d4,GP1-S,l_ssd,utility disk,2022-11-01 00:00,3,"838,1903172"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,b_ssd,volume_storage,2022-06-01 00:00,17,832
be0cfb77-ff67-4388-88bf-c179d446fe9d,GP1-XS,b_ssd,volume_storage,2022-04-01 00:00,6,832
5fb88945-77eb-4741-b02f-f66c33d42f6e,DEV1-M,l_ssd,utility disk,2022-07-01 00:00,22,"819,5638657"
f2efcc76-4b82-4084-b723-2db970058013,DEV1-L,l_ssd,utility disk,2022-10-01 00:00,11,"819,5638657"
24529a2d-aa91-4e79-b54c-df166dacdf0d,GP1-S,b_ssd,volume_storage,2022-09-01 00:00,4,800
24529a2d-aa91-4e79-b54c-df166dacdf0d,GP1-S,b_ssd,volume_storage,2022-11-01 00:00,4,800
15e4166a-51df-455e-b048-9db3060cf172,DEV1-XL,l_ssd,utility disk,2022-10-01 00:00,7,"782,3109627"
5d5876d7-1678-4aca-882e-02ff40ec7f6b,DEV1-XL,l_ssd,utility disk,2022-06-01 00:00,7,"782,3109627"
